timestamp;ui32ArduinoTimestamp;f32Value
38285876;579881304;-0.2352
38305876;579906142;-0.0000
38330894;579931476;-0.2237
38355864;579956566;-0.2259
38380854;579981644;0.3391
38405821;580006222;0.3482
38435901;580031086;-0.4563
38460894;580056222;-0.4511
38485850;580081330;-0.6773
38505851;580106466;-0.6766
38535866;580131074;0.8060
38555876;580156162;-0.7886
38580826;580181242;-0.9041
38605833;580206340;-0.9035
38635985;580231462;-1.2433
38660871;580256608;-1.1273
38685856;580282288;-1.1033
38710965;580307450;-1.4668
38735842;580332382;-1.4790
38760866;580357316;-1.4788
38790827;580383972;-1.4805
38810862;580411116;-1.6755
38835869;580436222;-1.6912
38860909;580461338;-1.9163
38890890;580486518;-1.8010
38915876;580511722;-1.9096
38940903;580536676;-2.0456
38960885;580561128;-2.2006
38990851;580586300;-2.2520
39015798;580611958;-2.2085
39045821;580639202;-2.3819
39065864;580666204;-2.4173
39090830;580691140;-2.6125
39120843;580716374;-2.6913
39145881;580741604;-2.6963
39170828;580766546;-2.7265
39195842;580791498;-2.9525
39215845;580816216;-2.8657
39240904;580841230;-2.9455
39265969;580866516;-3.2497
39290857;580891778;-3.1404
39320853;580916544;-3.2048
39346134;580940976;-3.2473
39370931;580966128;-3.3762
39395977;580991594;-3.3380
39420881;581017116;-3.5529
39440888;581042366;-3.5923
39471218;581068846;-3.6398
39495855;581095904;-3.6676
39525857;581121420;-3.7760
39550826;581146652;-3.8179
39575927;581171662;-3.8522
39595864;581196188;-3.9281
39620863;581221182;-3.8509
39645879;581246652;-3.8928
39676021;581272180;-4.1059
39700845;581297476;-4.0293
39730898;581322778;-4.1428
39750875;581347774;-4.1950
39775880;581372204;-4.1758
39800841;581397442;-4.3778
39825876;581422464;-4.1898
39850837;581447514;-4.4115
39870908;581472546;-4.1882
39895840;581497104;-4.4989
39920841;581522202;-4.5164
39945864;581547338;-4.3978
39976170;581572396;-4.5231
40000935;581597392;-4.5346
40025882;581624408;-4.5156
40055906;581652034;-4.6140
40075920;581677360;-4.5866
40105890;581702414;-4.6360
40130881;581727756;-4.6958
40165875;581754540;-4.7574
40185944;581781332;-4.6557
40210941;581806336;-4.8719
40235894;581831372;-4.6393
40255870;581856434;-4.8606
40280938;581881450;-4.7575
40306031;581907036;-4.8707
40330928;581932318;-4.9285
40360859;581957554;-4.8275
40385872;581982540;-4.8773
40410986;582007008;-4.8641
40435876;582032322;-5.0368
40460873;582057428;-4.9635
40485905;582082272;-4.9038
40510876;582107602;-4.9217
40540878;582134630;-5.1380
40571065;582162236;-4.9268
40590941;582187532;-5.1524
40615916;582212314;-5.0333
40640917;582237414;-4.9673
40665937;582264012;-5.2214
40690960;582291084;-5.0251
40716011;582316338;-5.1631
40745935;582341390;-5.2034
40770883;582366492;-5.0786
40791056;582391072;-5.0723
40821025;582416254;-5.2899
40840986;582441358;-5.0808
40865998;582466414;-5.1998
40891010;582491502;-5.1930
40915950;582516542;-5.2028
40945958;582541578;-5.2037
40975899;582566362;-5.1441
41000881;582592422;-5.3291
41025866;582619808;-5.2763
41055991;582646886;-5.2361
41080847;582674506;-5.2385
41100877;582701326;-5.2812
41125927;582726396;-5.3112
41155855;582751516;-5.3006
41180844;582776110;-5.1836
41205867;582801278;-5.1765
41225902;582826388;-5.4148
41255928;582851434;-5.4284
41275928;582876542;-5.1888
41300944;582901652;-5.3046
41325917;582926708;-5.3164
41350899;582951262;-5.3087
41380913;582976352;-5.3070
41411057;583001454;-5.3044
41431058;583026552;-5.3053
41455985;583051642;-5.3070
41475982;583076240;-5.4131
41500966;583101130;-5.4617
41526401;583126210;-5.3092
41551002;583151498;-5.2662
41580865;583176588;-5.4186
41605856;583201156;-5.4197
41631002;583226202;-5.4305
41650871;583251280;-5.3095
41680943;583276384;-5.4179
41705898;583301712;-5.3696
41730912;583327248;-5.4362
41760967;583352542;-5.2645
41785982;583377648;-5.4176
41815919;583404740;-5.3355
41835909;583431558;-5.4933
41855899;583456604;-5.3163
41886018;583482226;-5.4180
41905895;583507304;-5.4216
41930921;583532350;-5.3186
41960909;583557414;-5.4311
41985854;583582514;-5.3072
42010863;583607602;-5.4192
42035891;583632186;-5.4162
42060914;583657264;-5.4235
42081022;583682270;-5.3248
42105891;583707344;-5.4218
42130983;583732428;-5.4197
42165929;583757194;-5.3768
42190867;583782546;-5.4764
42215849;583808422;-5.4748
42245918;583835260;-5.2780
42260896;583861576;-5.4904
42285932;583886420;-5.3601
42310870;583911472;-5.3150
42335956;583936312;-5.3607
42360880;583961464;-5.1867


